x;y;date
1922;22;06/07/2017
1943;18;07/07/2017
969;12;08/07/2017
1232;10;09/07/2017
2069;18;10/07/2017
1896;20;11/07/2017
2048;9;12/07/2017
1781;16;13/07/2017
1735;12;14/07/2017
1065;7;15/07/2017
1079;12;16/07/2017
2081;12;17/07/2017
2086;23;18/07/2017
2131;15;19/07/2017
1870;16;20/07/2017
1465;10;21/07/2017
958;20;22/07/2017
1256;13;23/07/2017
2183;18;24/07/2017
1862;18;25/07/2017
2014;23;26/07/2017
1938;18;27/07/2017
1610;14;28/07/2017
930;8;29/07/2017
1083;10;30/07/2017
1758;16;31/07/2017
1806;11;01/08/2017
1659;9;02/08/2017
1661;11;03/08/2017
1483;14;04/08/2017
948;14;05/08/2017
968;9;06/08/2017
1603;13;07/08/2017
1850;15;08/08/2017
1683;15;09/08/2017
1729;20;10/08/2017
1408;12;11/08/2017
919;11;12/08/2017
1034;11;13/08/2017
1769;11;14/08/2017
1855;9;15/08/2017
2213;14;16/08/2017
1868;17;17/08/2017
1957;15;18/08/2017
1240;10;19/08/2017
1196;12;20/08/2017
1924;19;21/08/2017
1952;21;22/08/2017
1992;17;23/08/2017
1838;17;24/08/2017
1812;25;25/08/2017
1087;12;26/08/2017
1136;3;27/08/2017
1905;14;28/08/2017
1991;30;29/08/2017
2055;17;30/08/2017
1689;15;31/08/2017
1897;15;01/09/2017
1089;12;02/09/2017
964;16;03/09/2017
1813;19;04/09/2017
1691;11;05/09/2017
2118;19;06/09/2017
1935;11;07/09/2017
2207;19;08/09/2017
1107;7;09/09/2017
1268;22;10/09/2017
2002;16;11/09/2017
1962;13;12/09/2017
2377;14;13/09/2017
2220;22;14/09/2017
1913;12;15/09/2017
1119;8;16/09/2017
1259;12;17/09/2017
2281;20;18/09/2017
2144;24;19/09/2017
2165;27;20/09/2017
2208;16;21/09/2017
2155;15;22/09/2017
1213;12;23/09/2017
1172;14;24/09/2017
1798;13;25/09/2017
2249;20;26/09/2017
2010;21;27/09/2017
1994;19;28/09/2017
1981;23;29/09/2017
1217;8;30/09/2017
1266;11;01/10/2017
2311;23;02/10/2017
2131;18;03/10/2017
2319;23;04/10/2017
2033;19;05/10/2017
2130;19;06/10/2017
1295;3;07/10/2017
1307;17;08/10/2017
1985;14;09/10/2017
1912;12;10/10/2017
2382;15;11/10/2017
2060;16;12/10/2017
2180;13;13/10/2017
1328;13;14/10/2017
1256;19;15/10/2017
2344;26;16/10/2017
2054;20;17/10/2017
2222;20;18/10/2017
1995;20;19/10/2017
2260;24;20/10/2017
1187;12;21/10/2017
1406;8;22/10/2017
2015;12;23/10/2017
2090;16;24/10/2017
2098;16;25/10/2017
2409;25;26/10/2017
1566;19;27/10/2017
1104;9;28/10/2017
1420;19;29/10/2017
2284;11;30/10/2017
2259;18;31/10/2017
2105;17;01/11/2017
2322;14;02/11/2017
2320;10;03/11/2017
1439;15;04/11/2017
1507;13;05/11/2017
2461;11;06/11/2017
2575;16;07/11/2017
2196;21;08/11/2017
2243;21;09/11/2017
2287;22;10/11/2017
